time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0.0410001,0.623817,-1.43233,1.3463,0.624602,-1.42889,1.32998,0.624602,-1.42889,1.32998,0.624602,-1.42889,1.32998,0.00352583,6.26368,0.00352601,6.26368,0.00352583,6.26368
0.0510001,0.623818,-1.43234,1.3462,0.624623,-1.42881,1.32958,0.624623,-1.42881,1.32958,0.624623,-1.42881,1.32958,0.00361899,6.26338,0.00361925,6.26338,0.00361899,6.26338
0.062,0.623876,-1.43237,1.3463,0.625641,-1.42473,1.31008,0.625642,-1.42472,1.31008,0.625641,-1.42473,1.31008,0.00784127,6.24378,0.00784556,6.24378,0.00784128,6.24378
0.112,0.623892,-1.43233,1.3464,0.626515,-1.42149,1.29456,0.626517,-1.42148,1.29456,0.626515,-1.42149,1.29456,0.0111491,6.22816,0.0111593,6.22816,0.0111491,6.22816
0.14,0.623865,-1.43232,1.3464,0.626795,-1.4205,1.28978,0.626799,-1.42049,1.28978,0.626795,-1.4205,1.28978,0.0121777,6.22338,0.0121902,6.22338,0.0121778,6.22338
0.163,0.623826,-1.43231,1.3463,0.627903,-1.41671,1.27148,0.627908,-1.41669,1.27148,0.627903,-1.41671,1.27148,0.0161222,6.20518,0.0161438,6.20518,0.0161223,6.20518
0.198,0.623834,-1.43232,1.3463,0.627953,-1.41655,1.27068,0.627959,-1.41653,1.27068,0.627953,-1.41655,1.27068,0.0162995,6.20438,0.0163215,6.20438,0.0162995,6.20438
0.214,0.623951,-1.43219,1.3424,0.62916,-1.41271,1.25197,0.629169,-1.41267,1.25197,0.62916,-1.41271,1.25197,0.0201691,6.18957,0.0202033,6.18957,0.0201692,6.18957
0.265,0.623961,-1.43198,1.3393,0.630137,-1.40978,1.23765,0.63015,-1.40974,1.23765,0.630137,-1.40978,1.23765,0.0230423,6.17835,0.0230877,6.17835,0.0230425,6.17835
0.296,0.624299,-1.43034,1.3287,0.630729,-1.40808,1.22929,0.630744,-1.40803,1.22929,0.630729,-1.40808,1.22929,0.0231688,6.18059,0.0232213,6.18059,0.023169,6.18059
